POD,CPU,MEMORY,TIME
front-end-55b89655c7-9dmnn,84m,98Mi,1701842660.44921
front-end-55b89655c7-9dmnn,104m,98Mi,1701842682.1290488
front-end-55b89655c7-9dmnn,84m,100Mi,1701842703.826152
front-end-55b89655c7-9dmnn,84m,100Mi,1701842725.487321
front-end-55b89655c7-9dmnn,90m,99Mi,1701842747.1984107
front-end-55b89655c7-9dmnn,84m,98Mi,1701842768.8354218
front-end-55b89655c7-9dmnn,80m,98Mi,1701842790.641825
front-end-55b89655c7-9dmnn,74m,99Mi,1701842812.4698584
front-end-55b89655c7-9dmnn,62m,98Mi,1701842834.7453077
front-end-55b89655c7-9dmnn,70m,99Mi,1701842856.6311247
front-end-55b89655c7-9dmnn,74m,98Mi,1701842928.5678139
front-end-55b89655c7-9dmnn,82m,98Mi,1701842950.3531585
front-end-55b89655c7-9dmnn,77m,97Mi,1701842972.1331105
front-end-55b89655c7-9dmnn,65m,101Mi,1701842993.7664905
front-end-55b89655c7-9dmnn,78m,99Mi,1701843015.509302
front-end-55b89655c7-9dmnn,81m,102Mi,1701843037.1410542
front-end-55b89655c7-9dmnn,65m,100Mi,1701843058.951605
front-end-55b89655c7-9dmnn,73m,100Mi,1701843080.5303566
front-end-55b89655c7-9dmnn,93m,99Mi,1701843102.182882
front-end-55b89655c7-9dmnn,75m,99Mi,1701843123.7711222
front-end-55b89655c7-9dmnn,74m,100Mi,1701843145.4964023
front-end-55b89655c7-9dmnn,68m,99Mi,1701843167.1654487
front-end-55b89655c7-9dmnn,83m,99Mi,1701843188.915001
front-end-55b89655c7-9dmnn,78m,99Mi,1701843210.546905
front-end-55b89655c7-9dmnn,81m,100Mi,1701843232.3015022
front-end-55b89655c7-9dmnn,81m,100Mi,1701843254.028376
front-end-55b89655c7-9dmnn,87m,98Mi,1701843276.1285894
front-end-55b89655c7-9dmnn,87m,98Mi,1701843298.080885
front-end-55b89655c7-9dmnn,85m,101Mi,1701843320.1228914
front-end-55b89655c7-9dmnn,63m,102Mi,1701843342.0134706
front-end-55b89655c7-9dmnn,67m,101Mi,1701843364.0587988
front-end-55b89655c7-9dmnn,69m,101Mi,1701843386.0847263
front-end-55b89655c7-9dmnn,69m,99Mi,1701843408.1481245
front-end-55b89655c7-9dmnn,80m,102Mi,1701843430.0585437
front-end-55b89655c7-9dmnn,81m,101Mi,1701843452.1047783
front-end-55b89655c7-9dmnn,87m,99Mi,1701843474.068707
front-end-55b89655c7-9dmnn,76m,101Mi,1701843497.5571342
front-end-55b89655c7-9dmnn,68m,101Mi,1701843519.418525
front-end-55b89655c7-9dmnn,53m,99Mi,1701843541.3729262
front-end-55b89655c7-9dmnn,51m,100Mi,1701843563.2016802
front-end-55b89655c7-9dmnn,62m,99Mi,1701843585.158569
front-end-55b89655c7-9dmnn,52m,96Mi,1701843607.0763497
front-end-55b89655c7-9dmnn,52m,97Mi,1701843629.0750527
front-end-55b89655c7-9dmnn,46m,99Mi,1701843651.0007596
front-end-55b89655c7-9dmnn,61m,95Mi,1701843672.7837424
front-end-55b89655c7-9dmnn,68m,99Mi,1701843694.4616187
front-end-55b89655c7-9dmnn,68m,99Mi,1701843716.2716482
front-end-55b89655c7-9dmnn,52m,99Mi,1701843737.9001417
front-end-55b89655c7-9dmnn,57m,97Mi,1701843759.5903695
front-end-55b89655c7-9dmnn,36m,92Mi,1701843781.18353
front-end-55b89655c7-9dmnn,36m,92Mi,1701843802.8384018
front-end-55b89655c7-9dmnn,26m,93Mi,1701843824.4799347
front-end-55b89655c7-9dmnn,1m,93Mi,1701843845.8994136
front-end-55b89655c7-9dmnn,2m,93Mi,1701843867.1493952
front-end-55b89655c7-9dmnn,1m,93Mi,1701843888.523746
front-end-55b89655c7-9dmnn,1m,93Mi,1701843909.8174875
front-end-55b89655c7-9dmnn,1m,94Mi,1701843931.2454512
front-end-55b89655c7-9dmnn,1m,94Mi,1701843952.576874
