POD,CPU,MEMORY,TIME,,,,,,,Resource,,,
front-end-55b89655c7-nsj6b,257,106Mi,1703265959,,,,,,,,,,
front-end-55b89655c7-nsj6b,276,110Mi,1703265980,,,,,276,300,324.4949495,150761,192080.8298,0.784883115
front-end-55b89655c7-nsj6b,229,107Mi,1703266002,,,,,229,300,348.4848485,,,
front-end-55b89655c7-nsj6b,194,106Mi,1703266023,,,,,194,300,313.6363636,,,
front-end-55b89655c7-nsj6b,254,105Mi,1703266045,,,,,254,244.9494949,244.9494949,,,
front-end-55b89655c7-nsj6b,130,107Mi,1703266067,,,,,130,300,320.7070707,,,
front-end-55b89655c7-nsj6b,120,105Mi,1703266088,front-end-55b89655c7-26qcc,123,118Mi,1703266088,243,321.0675095,160.5337548,,,
front-end-55b89655c7-nsj6b,119,105Mi,1703266110,front-end-55b89655c7-26qcc,113,124Mi,1703266110,232,295.1879485,147.5939742,,,
front-end-55b89655c7-nsj6b,116,106Mi,1703266132,front-end-55b89655c7-26qcc,118,137Mi,1703266132,234,310.6060606,155.3030303,,,
front-end-55b89655c7-nsj6b,164,106Mi,1703266154,front-end-55b89655c7-26qcc,116,140Mi,1703266154,280,298.8215488,149.4107744,,,
front-end-55b89655c7-nsj6b,120,106Mi,1703266175,front-end-55b89655c7-26qcc,136,106Mi,1703266175,256,403.1902807,201.5951404,,,
front-end-55b89655c7-nsj6b,127,106Mi,1703266197,front-end-55b89655c7-26qcc,136,106Mi,1703266197,263,339.2311771,169.6155886,,,
front-end-55b89655c7-nsj6b,151,106Mi,1703266218,front-end-55b89655c7-26qcc,115,106Mi,1703266218,266,334.8524083,167.4262041,,,
front-end-55b89655c7-nsj6b,111,106Mi,1703266240,front-end-55b89655c7-26qcc,138,105Mi,1703266240,249,335.016835,167.5084175,,,
front-end-55b89655c7-nsj6b,161,107Mi,1703266261,front-end-55b89655c7-26qcc,134,104Mi,1703266261,295,327.4410774,163.7205387,,,
front-end-55b89655c7-nsj6b,122,103Mi,1703266282,front-end-55b89655c7-26qcc,124,105Mi,1703266282,246,392.9501524,196.4750762,,,
front-end-55b89655c7-nsj6b,149,104Mi,1703266304,front-end-55b89655c7-26qcc,143,104Mi,1703266304,292,319.7872257,159.8936128,,,
front-end-55b89655c7-nsj6b,140,106Mi,1703266325,front-end-55b89655c7-26qcc,136,110Mi,1703266325,276,367.8951514,183.9475757,,,
front-end-55b89655c7-nsj6b,131,106Mi,1703266347,front-end-55b89655c7-26qcc,140,108Mi,1703266347,271,356.2321542,178.1160771,,,
front-end-55b89655c7-nsj6b,128,105Mi,1703266368,front-end-55b89655c7-26qcc,129,107Mi,1703266368,257,339.977855,169.9889275,,,
front-end-55b89655c7-nsj6b,135,109Mi,1703266390,front-end-55b89655c7-26qcc,138,108Mi,1703266390,273,336.9108175,168.4554088,,,
front-end-55b89655c7-nsj6b,137,108Mi,1703266411,front-end-55b89655c7-26qcc,115,107Mi,1703266411,252,346.5805977,173.2902989,,,
front-end-55b89655c7-nsj6b,139,107Mi,1703266432,front-end-55b89655c7-26qcc,130,109Mi,1703266432,269,352.300684,176.150342,,,
front-end-55b89655c7-nsj6b,140,102Mi,1703266454,front-end-55b89655c7-26qcc,124,108Mi,1703266454,264,356.2017859,178.1008929,,,
front-end-55b89655c7-nsj6b,134,104Mi,1703266475,front-end-55b89655c7-26qcc,171,109Mi,1703266475,305,357.1187558,178.5593779,,,
front-end-55b89655c7-nsj6b,155,105Mi,1703266496,front-end-55b89655c7-26qcc,136,108Mi,1703266496,291,350.8650208,175.4325104,,,
front-end-55b89655c7-nsj6b,122,106Mi,1703266518,front-end-55b89655c7-26qcc,144,108Mi,1703266518,266,361.1111111,180.5555556,,,
front-end-55b89655c7-nsj6b,133,106Mi,1703266539,front-end-55b89655c7-26qcc,154,108Mi,1703266539,287,345.959596,172.979798,,,
front-end-55b89655c7-nsj6b,138,108Mi,1703266561,front-end-55b89655c7-26qcc,154,108Mi,1703266561,292,344.9496164,172.4748082,,,
front-end-55b89655c7-nsj6b,143,106Mi,1703266582,front-end-55b89655c7-26qcc,135,107Mi,1703266582,278,350.7652622,175.3826311,,,
front-end-55b89655c7-nsj6b,137,108Mi,1703266603,front-end-55b89655c7-26qcc,135,107Mi,1703266603,272,348.4848485,174.2424242,,,
front-end-55b89655c7-nsj6b,174,107Mi,1703266625,front-end-55b89655c7-26qcc,150,104Mi,1703266625,324,351.8518519,175.9259259,,,
front-end-55b89655c7-nsj6b,135,105Mi,1703266646,front-end-55b89655c7-26qcc,150,105Mi,1703266646,285,418.9646835,209.4823418,,,
front-end-55b89655c7-nsj6b,153,105Mi,1703266667,front-end-55b89655c7-26qcc,130,106Mi,1703266667,283,367.2625722,183.6312861,,,
front-end-55b89655c7-nsj6b,170,107Mi,1703266689,front-end-55b89655c7-26qcc,152,106Mi,1703266689,322,387.3001429,193.6500715,,,
front-end-55b89655c7-nsj6b,147,106Mi,1703266710,front-end-55b89655c7-26qcc,137,107Mi,1703266710,284,385.5218855,192.7609428,,,
front-end-55b89655c7-nsj6b,138,109Mi,1703266732,front-end-55b89655c7-26qcc,187,110Mi,1703266732,325,395.6228956,197.8114478,,,
front-end-55b89655c7-nsj6b,182,108Mi,1703266753,front-end-55b89655c7-26qcc,125,105Mi,1703266753,307,357.3267483,178.6633741,,,
front-end-55b89655c7-nsj6b,149,107Mi,1703266774,front-end-55b89655c7-26qcc,134,107Mi,1703266774,283,393.0976431,196.5488215,,,
